,mat,dHf,dHd,Stability,Band Gap,Mag,Decomps
0,K2Rb2MgCo3Cl12,-7.385187500000001,-5259.9338599999965,Stable,0.28980000000000006,False,Cl2Co1 Cl4Co1K2 RbCl MgCl2
1,K4CrMn3Br12,-8.293816,-6824.340999999999,Stable,0.0,False,Br1K1 Br2Cr1 Br2Mn1
2,K2Rb2Co3CuF12,-9.3426485,-6641.940099999989,Stable,0.0,False,Co1F2 Cu1F2 F1K1 RbF
3,Rb2Cs2MgMn3F12,-10.815334,-7138.825239999919,Stable,2.0588,False,F2Mn1 RbF CsF MgF2
4,Rb2Cs2Cd3PbCl12,-6.0971785,-3076.4226549999607,Stable,2.1263,False,CdCl2 RbCl PbCl2 CsCl
5,Cs4MgBa3F12,-9.8173755,-5576.10373,Stable,5.6231,False,Ba1F2 CsF MgF2
6,K4Mn3CoBr12,-7.9197575,-6509.412499999999,Stable,0.0,False,Br1K1 Br2Co1 Br2Mn1
7,Rb2Cs2Cr3PbCl12,-8.5871975,-6070.970959999878,Stable,0.0,False,Cl2Cr1 RbCl PbCl2 CsCl
8,Cs4Ca3PbBr12,-6.898196,-3492.1723749999555,Stable,3.9577999999999998,False,PbBr2 CsBr CaBr2
9,Cs4CaV3Cl12,-8.736638000000001,-5991.418675000049,Stable,0.2852999999999999,False,Cl2V1 CaCl2 CsCl
10,Cs4Cd3PbCl12,-6.1127125,-3095.598894999931,Stable,2.0147,False,CdCl2 PbCl2 CsCl
11,KCsMnCoI6,-13.457239000000001,-12020.847875000009,Stable,0.0,False,Co I1K1 I2Mn1 CsI3
12,K2Rb2NiCu3Cl12,-6.472885499999999,-4842.85351,Stable,0.0,False,Cl1K1 Cl2Cu1 Cl3K1Ni1 RbCl
13,Rb2Cs2CoSr3Cl12,-7.709520500000001,-4938.4037599999965,Stable,0.44589999999999996,False,Cl2Co1 Cl2Sr1 RbCl CsCl
14,Rb4Ca3CdCl12,-7.3505595,-3709.374610000102,Stable,4.0425,False,CdCl2 CaCl2 RbCl
15,RbCsTiBaBr6,-15.039988,-12704.550094999984,Stable,0.03200000000000003,False,Ti Ba1Br2 CsBr3 RbBr
16,Cs2MgCaBr6,-13.221073,-9935.563030000041,Stable,3.408,False,MgBr2 CsBr CaBr2
17,Rb2Cs2CaCo3Cl12,-7.587591999999999,-5148.645435000006,Stable,0.3207,False,Cl2Co1 CaCl2 RbCl CsCl
18,Cs2MnCdF6,-18.907391,-15370.68958000004,Stable,0.8009,False,F2Mn1 CsF CdF2
19,Cs2TiBaBr6,-15.057400999999999,-12722.830725000009,Stable,0.04410000000000025,False,Ti Ba1Br2 CsBr3 CsBr
20,K2Rb2CoSn3I12,-5.681317,-3390.2560700001263,Stable,0.08550000000000013,False,Co I1K1 RbI SnI2 RbI3
21,Rb2Cs2Co3PbI12,-5.897136,-3879.634100000028,Stable,0.0,False,Co RbI CsI3 RbI3 PbI2
22,RbCsCaMnF6,-21.476011,-17280.51709000002,Stable,2.2979000000000003,False,F2Mn1 RbF CsF CaF2
23,K4Mg3CaF12,-9.895952,-5511.460599999729,Stable,6.6373,False,F1K1 MgF2 CaF2
